Kommunenavn,Kommunekode,Digital?
Aabenraa,0580,Nej
Aalborg,0851,Nej
Aarhus,0751,Nej
Albertslund,0165,Nej
Allerød,0201,Nej
Assens,0420,Nej
Ballerup,0151,Nej
Billund,0530,Nej
Bornholms Regionskommune,0400,Nej
Brøndby,0153,Nej
Brønderslev,0810,Nej
Christiansø,0411,Ingen plan
Dragør,0155,Nej
Egedal,0240,Nej
Esbjerg,0561,Nej
Faaborg-Midtfyn,0430,Nej
Fanø,0563,Nej
Favrskov,0710,Nej
Faxe,0320,Nej
Fredensborg,0210,Nej
Fredericia,0607,Nej
Frederiksberg,0147,Nej
Frederikshavn,0813,Nej
Frederikssund,0250,Nej
Furesø,0190,Nej
Gentofte,0157,Nej
Gladsaxe,0159,Nej
Glostrup,0161,Nej
Greve,0253,Nej
Gribskov,0270,Nej
Guldborgsund,0376,Nej
Haderslev,0510,Nej
Halsnæs,0260,Nej
Hedensted,0766,Nej
Helsingør,0217,Nej
Herlev,0163,Nej
Herning,0657,Nej
Hillerød,0219,Nej
Hjørring,0860,Nej
Holbæk,0316,Nej
Holstebro,0661,Nej
Horsens,0615,Nej
Hvidovre,0167,Nej
Høje-Taastrup,0169,Nej
Hørsholm,0223,Nej
Ikast-Brande,0756,Nej
Ishøj,0183,Nej
Jammerbugt,0849,Nej
Kalundborg,0326,Nej
Kerteminde,0440,Nej
Kolding,0621,Nej
Københavns Kommune,0101,Nej
Køge,0259,Nej
Langeland,0482,Nej
Lejre,0350,Nej
Lemvig,0665,Nej
Lolland,0360,Nej
Lyngby-Taarbæk,0173,Nej
Læsø,0825,Nej
Mariagerfjord,0846,Nej
Middelfart,0410,Nej
Morsø,0773,Nej
Norddjurs,0707,Nej
Nordfyns,0480,Nej
Nyborg,0450,Nej
Næstved,0370,Nej
Odder,0727,Nej
Odense,0461,Nej
Odsherred,0306,Nej
Randers,0730,Nej
Rebild,0840,Nej
Ringkøbing-Skjern,0760,Nej
Ringsted,0329,Nej
Roskilde,0265,Nej
Rudersdal,0230,Nej
Rødovre,0175,Nej
Samsø,0741,Nej
Silkeborg,0740,Nej
Skanderborg,0746,Nej
Skive,0779,Nej
Slagelse,0330,Nej
Solrød,0269,Nej
Sorø,0340,Nej
Stevns,0336,Nej
Struer,0671,Nej
Svendborg,0479,Nej
Syddjurs,0706,Nej
Sønderborg,0540,Nej
Thisted,0787,Nej
Tårnby,0185,Nej
Tønder,0550,Nej
Vallensbæk,0187,Nej
Varde,0573,Nej
Vejen,0575,Nej
Vejle,0630,Nej
Vesthimmerlands,0820,Nej
Viborg,0791,Nej
Vordingborg,0390,Nej
Ærø,0492,Ja
