Kommunenavn,Kommunekode,Tillægsnavn,PlanID,Digital?
Aabenraa,0580,Tillæg nr. 1 for Kruså Vandmølle,12158286,Nej
Aabenraa,0580,Tillæg nr. 67 Møgelmose,12116511,Nej
Aalborg,0851,1.058 For området ved Kastetvej og Absalonsgade i Vestbyen,10851697,Nej
Aalborg,0851,1.059 For området ved Stuhrs Brygge,10956404,Nej
Aalborg,0851,1.060 Område ved Østerport,12161391,Nej
Aalborg,0851,1.061 Sygehus Nord og Gåsepigen,11240602,Nej
Aalborg,0851,1.062 Byudviklingsplan for Vestbyen og Mølholm,11911990,Nej
Aalborg,0851,"1.063 Udvidelse af hotel Radisson, Ved Stranden, Aalborg",12136734,Nej
Aalborg,0851,10.014 for vindmøller i Nørrekær Enge,3684516,Nej
Aalborg,0851,10.016 Bolig og Erhverv ved Søndergade/Sygehusvej i Nibe,10985829,Nej
Aalborg,0851,"10.017 Boliger ved Grydstedvej, Nibe",11239381,Nej
Aalborg,0851,10.018 Boligområde ved Lundevej,11340742,Nej
Aalborg,0851,2.015 for udvidelse af Aalborg Lufthavn,2087291,Nej
Aalborg,0851,2.024 For et område ved Loftbrovej,10946425,Nej
Aalborg,0851,"2.025 Stier Stigsborg, Nørresundby",11126881,Nej
Aalborg,0851,2.027 Aalborg Kaserne,11126903,Nej
Aalborg,0851,2.028 Erhverv Kystvejen,11176703,Nej
Aalborg,0851,2.029 Byudviklingsplan Løvvang,11240435,Nej
Aalborg,0851,2.030 Boliger ved Stenholmsvej,11256079,Nej
Aalborg,0851,"2.031 Aflastningsområde ved Loftbrovej, Bouet",11309394,Nej
Aalborg,0851,"2.032 Erhvervsområde Loftbrovej, Bouet",11306714,Nej
Aalborg,0851,"3.015 for landingsplads for lægehelikoptere, Mølholmsvej med VVM og MV",2967114,Nej
Aalborg,0851,3.034 for institution på Skydebanevej,10823587,Nej
Aalborg,0851,3.037 Ny institution ved Bejsebakkevej og ændret byggeret i tilstødende erhvervsområde,11280185,Nej
Aalborg,0851,"3.038 Område til offentlige formål, Skydebanevej",11252028,Nej
Aalborg,0851,3.039 Område ved Marinaen,11256119,Nej
Aalborg,0851,3.040 Dagligvarebutik på Ny Kærvej i Kærby,11238631,Nej
Aalborg,0851,"3.041 For et område til erhverv og pladskrævende varer ved City Syd, Skalborg",11268169,Nej
Aalborg,0851,3.043 Ændret byggemulighed i erhvervsområde i Sofiendal,11284220,Nej
Aalborg,0851,3.044 Ændrede byggemuligheder i det østlige Hasseris,11284312,Nej
Aalborg,0851,3.047 Erhverv ved Nibevej/Halkjærvej i Skalborg,11427242,Nej
Aalborg,0851,4.058 Nyt boligområde ved Nielsmindevej  i Gug,10907661,Nej
Aalborg,0851,4.073 For området ved Østre Alle og Samsøgade,11288210,Nej
Aalborg,0851,4.074 Område ved Reno Nord ved Troensevej,11026955,Nej
Aalborg,0851,4.075 Byudviklingsplan Vejgaard,11276179,Nej
Aalborg,0851,4.076 Udvidelse af landsbyen Sønder Tranders,11131681,Nej
Aalborg,0851,4.077 Ved Einsteins Boulevard nord,11131467,Nej
Aalborg,0851,4.078 For et området ved Alfred Nobels Vej,11268199,Nej
Aalborg,0851,4.079 Område ved C. P. Holbølls Plads,11268220,Nej
Aalborg,0851,4.080 For Universitetskvarteret,11176708,Nej
Aalborg,0851,4.081 Dagligvarebutik på Gugvej i Gug,11256247,Nej
Aalborg,0851,4.082 Ændret anvendelse Langagervej 16,11251939,Nej
Aalborg,0851,4.086 Blandet bolig og erhverv ved Selma Lagerløfs Vej,12155430,Nej
Aalborg,0851,4.088 Ændrede anvendelser og højder ved Gigantium,12136698,Nej
Aalborg,0851,"5.011 for Rærup Deponi, Halsvej med VVM og MV",2978138,Nej
Aalborg,0851,5.016 for vindmøller ved Lyngdrup,2994401,Nej
Aalborg,0851,5.018  Boliger ved Uggerhalnevej  i Grindsted,11939277,Ja
Aalborg,0851,5.032 Solceller ved Kæragerholmvej,10852621,Nej
Aalborg,0851,5.036 Området ved Nefovej,11169748,Nej
Aalborg,0851,5.039 Byudviklingsplan Langholt,11251943,Nej
Aalborg,0851,5.040 Solcellepark nord for Bouet,11907024,Nej
Aalborg,0851,5.041 Boligområde ved Langbrokrovej i Vodskov,11915161,Nej
Aalborg,0851,5.042 Udvidelse af bymidten i Vodskov,11366842,Nej
Aalborg,0851,5.045 Højspændingsstation ved Nordjyllandsværket,12187322,Nej
Aalborg,0851,6.032 Nyt institutionsområde i Frejlev,11192233,Nej
Aalborg,0851,6.034 Omdannelse af tidligere erhvervsområdet ved Nibevej i Frejlev,11284318,Nej
Aalborg,0851,"6.035 Erhverv ved Hobrovej, Svenstrup",11240697,Nej
Aalborg,0851,6.037 For erhvervsområde Hobrovej S i Svenstrup,11746118,Nej
Aalborg,0851,7.015 Boliger i området ved Spergelvej m.m. i Klarup,10909969,Nej
